t,AGFF,DGFF
-10.0,0.05689576697021403,-0.006196397759436968
-9.8,0.05904932560112941,-0.006510081320828165
-9.6,0.0613129556884619,-0.006845300270364006
-9.4,0.063693780441938,-0.007203934878167922
-9.2,0.06619948347029825,-0.00758806590629736
-9.0,0.06883836092637644,-0.007999999999999998
-8.8,0.07161937921256308,-0.008442298821524568
-8.6,0.07455223902106335,-0.008917812558687524
-8.4,0.07764744647014818,-0.009429718561318317
-8.2,0.08091639220919955,-0.009981566005562954
-8.0,0.0843714395330543,-0.010577327665007762
-7.8,0.08802602267446653,-0.011221460086513297
-7.6,0.09189475660526092,-0.011918973737448777
-7.4,0.09599355994732435,-0.012675515022345759
-7.199999999999999,0.10033979260088534,-0.013497462477054318
-7.0,0.10495241038294043,-0.01439203995814661
-6.8,0.10985213882239189,-0.015367450281555296
-6.6,0.11506166894562754,-0.016433033562340847
-6.4,0.1206058782535886,-0.017599455512922007
-6.199999999999999,0.12651208049998997,-0.018878932230382436
-6.0,0.13281030864634688,-0.0202854996243426
-5.8,0.13953363600895888,-0.021835337711503255
-5.6,0.14671854147863114,-0.023547162673489937
-5.3999999999999995,0.15440532576895025,-0.0254427030327702
-5.199999999999999,0.16263858683243326,-0.02754728080753361
-5.0,0.17146776408197403,-0.029890524416745244
-4.8,0.1809477628297868,-0.0325072479123123
-4.6,0.19113967249269656,-0.03543854149935851
-4.3999999999999995,0.20211159470165724,-0.03873313222566849
-4.199999999999999,0.21393960062389594,-0.042449092532732983
-4.0,0.22670884057336765,-0.046655999999999996
-3.8,0.2405148338326327,-0.051437686876150454
-3.5999999999999996,0.25546497209960994,-0.05689576695493857
-3.3999999999999995,0.27168027741815864,-0.06315419603755501
-3.1999999999999993,0.28929746394862293,-0.07036521962056452
-3.0,0.30847136400765296,-0.07871720116618078
-2.8,0.3293777924086323,-0.08844502722990659
-2.5999999999999996,0.3522169402332421,-0.0998440843544183
-2.3999999999999995,0.37721741071217335,-0.11328924843073417
-2.1999999999999993,0.40464103720292277,-0.12926100296608792
-2.0,0.43478865796178817,-0.14838184408711583
-1.799999999999999,0.46800706689377974,-0.17146776406035685
-1.5999999999999996,0.5046974167331085,-0.19960221933573266
-1.4000000000000004,0.5453254251205146,-0.23424426181889219
-1.1999999999999993,0.590433830790132,-0.2773896605572452
-1.0,0.6406576735635231,-0.33181611288120166
-0.7999999999999989,0.6967431394400384,-0.4014653208858894
-0.5999999999999996,0.7595709340927762,-0.4920542353112699
-0.3999999999999986,0.8301854472525891,-0.612082457330549
-0.1999999999999993,0.9098313729033879,-0.7745497199296217
0.0,1.0000000000340992,-1.0
